family,uid
Acipenseridae,704a1bfb-c2bf-49dd-b555-2b033f45f0fc
Albulidae,a685be33-bbc6-41d0-96bf-0ac8f5a709c8
Alepisauridae,f2396149-3019-45a6-b87c-9ac5bfeba8b1
Anguillidae,9ce911e2-a8fa-47a2-afe9-ca18d71be30f
Anoplopomatidae,884d77c5-932b-4331-a3c7-e9df01d805e6
Anostomidae,199829d3-183a-4eb3-a35a-a8705d28cb56
Ariidae,ecf0d435-df11-4c44-925e-451b763973c2
Arripidae,ab0e38bc-f514-46fb-8255-17adbc6c8d37
Atherinidae,Atherinosoma-microstoma
Atherinopsidae,4e31c12d-1c23-4a64-bcc6-0730ab6d0617
Bagridae,6a920565-e1fc-43f0-952a-83b0243ee97a
Bramidae,08915a93-1ea3-4373-8ff0-72d05324537f
Bryconidae,95996831-625e-4f9f-8298-0d06af475cdf
Carangidae,0eb09006-b566-4cf4-8767-ffab6f4ecfc1
Centrarchidae,21290998-4304-4af6-81d1-476f18367878
Centrolophidae,c1bb2fb0-08dc-4841-ae91-6c09146c4289
Centropomidae,1882dc2b-97aa-41ed-aa1b-546e90609026
Channidae,Channa-punctata
Cichlidae,bf76c9e2-beca-496e-82e3-13f1873f84f7
Clariidae,4317e447-87bb-42b9-94bc-8c910afdbe4b
Clupeidae,0b89df58-7eae-40c5-9676-d35e3449afb2
Congridae,629e1135-d0c5-4f02-bb13-8cbf63e48692
Cottidae,d0bde1d1-e52f-4d4e-828c-1641836dfb16
Cyprinidae,25a76141-cca2-4b56-bd9f-9f5fdcd8efa1
Dussumieriidae,10726c24-226a-4e0a-803b-d5cb7ea6212e
Eleotridae,d561c4f7-bd36-4f10-98b5-451e4b179d81
Engraulidae,6bd3702d-3ef1-44d0-83bf-93377875017c
Ephippidae,5e28848d-148f-49ad-b1f7-c17efa8fe623
Erythrinidae,Hoplias-Guyana
Esocidae,e11a3135-cfe1-4f8a-8e1e-1824fef0e833
Exocoetidae,b6626eff-b00e-428a-b3fa-51679a0cfaa2
Fundulidae,ffc40581-a3b2-4296-a901-9ff9d8cd4805
Gadidae,0a3f06b7-a093-46e5-9298-268768d83046
Galaxiidae,57ad745e-81c2-4ba9-a4e2-6d216cfd7325
Gasterosteidae,128043bd-2d06-47bc-a53b-b6f0bcf214e4
Gempylidae,Ruvettus-pretiosus
Gobiidae,1a751e83-ad0a-449f-b7cd-502ec79b5b57
Haemulidae,e2ca219f-f347-44d0-902e-385a0605bac2
Hemiramphidae,b6626eff-b00e-428a-b3fa-51679a0cfaa2
Istiophoridae,495d8372-dc7a-44b6-b8e4-3b462672d71f
Kuhliidae,Kuhlia-rupestris
Lateolabracidae,Lateolabrax-japonicus
Latidae,6821092f-e3f0-46ad-970c-a1969cc9e5d6
Leuciscidae,2da2c075-6a2f-4984-8683-d2e1b86b9b51
Lotidae,dac37960-8810-4e23-8395-758cb9962b47
Lutjanidae,Lutjanus-goldiei
Macruronidae,9e87f9e3-a1a6-49e0-9037-924d81ab53a3
Megalopidae,3491012a-91eb-49ea-bd20-479e6b58935c
Merlucciidae,d80b49ff-1b32-4ace-9dc3-4e7875bee8cb
Moronidae,86c40d81-2613-4bb4-ad57-fb460be56ae5
Mugilidae,ead318d0-2ded-4ca5-b263-b9702374a564
Muraenesocidae,72dcce7c-2ec4-4a95-95e3-591c51b0145f
Muraenidae,cbb304e2-a44a-4704-9ea4-a8b0d5a7fcd0
Myctophidae,93b9ea15-3319-4b74-8003-e4a9f25ec680
Nomeidae,043baf6f-40f4-4c1b-b267-b853bf26b435
Nototheniidae,9cf795ff-f131-482c-90f9-54ba11712415
Oreosomatidae,1cc605fb-013f-4997-b88c-6d2c71952e8d
Osmeridae,f1f91d08-b850-4600-ad64-622ce87f0199
Oxudercidae,b5a32bb7-c2f1-440d-9068-c90520c874da
Pangasiidae,7cb387d7-9b23-4e5c-a007-2d938339cb8a
Paralepididae,f2396149-3019-45a6-b87c-9ac5bfeba8b1
Paralichthyidae,Paralichthys-olivaceus
Percalatidae,ac015205-73be-4202-8049-93113eaf4141
Percichthyidae,d595ecc8-63d8-46f2-a1c2-b60372cf7e44
Percidae,7a79801e-0aae-4591-83e0-d0562f97aa0f
Percophidae,1619c443-7428-4cf6-aae4-f80f6e872e60
Pimelodidae,7266bafd-1d05-4aa7-af04-a9ea8d52c2ab
Plecoglossidae,Plecoglossus-altivelis
Pleuronectidae,4c2220b9-68a8-4594-8dd8-229643e11c84
Plotosidae,9be41f67-64e4-48a2-9759-25363940b33b
Polynemidae,Eleutheronema-tetradactylum
Polyodontidae,Polyodon-spathula
Pomacentridae,ca160bcf-f2b8-4d2d-80bd-426f1f51be72
Pomatomidae,Pomatomus-saltatrix
Prochilodontidae,7be4fe69-28df-4a1f-99a0-666aafba3950
Pseudaphritidae,295b9036-57b5-419e-afec-577a6ee3cf13
Retropinnidae,98dc249a-b1f2-4795-9fa7-ee0162fa2515
Rhyacichthyidae,e43065ae-af98-465e-abac-840d869b402c
Salangidae,debd0fa6-7481-42f9-b100-42eae4a136ce
Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Scatophagidae,5385b2da-f63e-4e41-a8ad-f6ffdd4ab83f
Sciaenidae,f7ed2e4c-3e62-4208-adb3-6da5e4cec922
Scomberesocidae,cololabis_saira_el-p
Scombridae,576e4c83-ba51-446a-9d6f-3c03ed4986e0
Scombrolabracidae,Scombrolabrax-heterolepis
Scophthalmidae,af0333f7-813f-4f21-b603-78d06f084889
Sebastidae,ed245bc2-c8dc-4ad4-9d08-efa19fe6854a
Serranidae,Mycteroperca-microlepis
Siganidae,c8913720-48ac-43cc-8fdb-25c92c0a7d55
Soleidae,5e44dca8-d055-4f31-a6e1-4f4b3febdd8b
Sparidae,5cb0dcda-2ff9-45b8-a064-16de62ddcd8a
Terapontidae,c14901ae-aad3-493d-8f0a-8436207f19f8
Tetrarogidae,8bbb65bb-2e24-4d97-b481-341dd185f059
Tincidae,0dc8cdc8-eb45-4d23-aef4-9314968a23fb
Toxotidae,8a9bc7b5-360c-4f2a-9487-723dcd3deb8b
Trachichthyidae,820b392c-570d-440c-a75b-570c6a4d4dbd
Trichiuridae,Peixe-Espada-preto-Aphanopus-carbo
Xenocyprididae,4270a60d-131a-46ec-bbe0-43664eaebaef
Xiphiidae,495d8372-dc7a-44b6-b8e4-3b462672d71f
